# Doslovny prepis PDF "Priority Ideas" (Mark Gomes), verze z 24. 8. 2026.
# Zdroj nese v hlavicce "For the exclusive use of Mark Gomes" -- nepublikovat ven.
#
# Prepis nemeni zadnou hodnotu. Jedine, co se deje: ze cen se odstranuje "$",
# z procent "%", a data se prevadeji na ISO. Poznamky, "N/A", "#N/A" i preklepy
# jsou doslovne. Prazdne pole = v listu bylo prazdno.
#
# row_id je poradi v PDF, stabilni navzdy, nikdy se nepouzije znovu.
# Radky NEJSOU serazene podle data -- row 156 sedi mimo poradi uz v PDF.
# peak_return_live_pct je text, ne cislo, a je prokazatelne zkazeny splity.
row_id,company,ticker,initial_interest,pause_interest,days,inclination,status,initial_price,final_price,final_change_pct,final_net_change_pct,peak_return_live_pct,latest_notes,footnote
1,"Facebook",FB,2014-05-08,2015-11-05,546,Long,CLOSED,57.23,110.10,92,92,N/A,"",
2,"Lionsgate Films",LGF,2014-05-08,2015-08-12,461,Long,CLOSED,25.40,37.98,50,50,N/A,"",
3,"Glu Mobile",GLUU,2014-05-08,2016-04-25,719,Long,CLOSED,3.93,2.80,-29,-29,N/A,"",
4,"Mattersight",MATR,2014-05-14,2017-09-19,1224,Long,CLOSED,4.98,2.51,-50,-50,1117,"",
5,"AeroGrow",AERO,2014-05-14,2016-04-25,713,Long,CLOSED,5.54,2.52,-55,-55,N/A,"",
6,"Amber Road Inc.",AMBR,2014-05-29,2015-06-22,389,Short,CLOSED,12.98,7.44,-43,43,N/A,"",
7,"ServiceNow, Inc.",NOW,2014-05-29,2015-09-11,470,Long,CLOSED,53.98,72.53,34,34,-69,"",
8,"Zoned properties",ZDPY,2014-06-05,2015-06-10,370,Short,CLOSED,62.50,26.00,-58,58,4,"",
9,"Medbox Inc",MDBX,2014-06-05,2015-06-10,370,Short,CLOSED,25.50,0.43,-98,98,N/A,"",
10,"Cannavest Corp",CANV,2014-06-05,2015-06-10,370,Short,CLOSED,24.55,1.43,-94,94,N/A,"",
11,"Cannabis Capital",CBCA,2014-06-05,2015-06-10,370,Short,CLOSED,18.54,0.20,-99,99,-8,"",
12,"Advanced Cannabis",CANN,2014-06-05,2015-06-10,370,Short,CLOSED,18.50,2.19,-88,88,N/A,"",
13,"Cara Therapeutics",CARA,2014-06-05,2015-06-10,370,Short,CLOSED,17.08,9.94,-42,42,N/A,"",
14,"Cannabis Sativa",CBDS,2014-06-05,2015-06-10,370,Short,CLOSED,6.55,2.88,-56,56,N/A,"",
15,"Mtn High Acquis",MYHI,2014-06-05,2015-06-10,370,Short,CLOSED,5.32,0.14,-97,97,N/A,"",
16,"MJ Holdings",MJNE,2014-06-05,2015-06-10,370,Short,CLOSED,3.65,1.75,-52,52,N/A,"",
17,"Fusion Pharm Inc",FSPM,2014-06-05,2015-06-10,370,Short,CLOSED,3.56,0.15,-96,96,-58,"",
18,"RealNetworks",RNWK,2014-06-12,2015-06-22,375,Short,CLOSED,7.79,6.11,-22,22,N/A,"",
19,"Globalstar",GSAT,2014-06-12,2015-06-22,375,Short,CLOSED,4.15,2.33,-44,44,1537,"",
20,"JAKKS Pacific",JAKK,2014-06-12,2016-12-06,908,Long,CLOSED,7.68,7.28,-5,-5,1239,"",
21,"Tuesday Morning Corp.",TUES,2014-06-17,2015-06-10,358,Short,CLOSED,18.80,14.02,-25,25,N/A,"",
22,"Mad Catz",MCZ,2014-07-02,2015-06-22,355,Long,CLOSED,0.62,0.47,-24,-24,N/A,"",
23,"Pixelworks",PXLW,2014-07-10,2015-06-22,347,Short,CLOSED,8.27,6.41,-22,22,1326,"",
24,"King Digital",KING,2014-07-10,2016-04-25,656,Short,CLOSED,19.86,18.00,-9,9,N/A,"",
25,"Datawatch",DWCH,2014-07-23,2015-06-10,322,Short,CLOSED,12.59,10.55,-16,16,N/A,"",
26,"IBM",IBM,2014-07-23,2015-06-10,322,Long,CLOSED,194.11,191.08,-2,-2,-3,"",
27,"Microstrategy",MSTR,2014-07-23,2015-06-22,334,Long,CLOSED,140.04,177.69,27,27,-86,"",
28,"Tableau",DATA,2014-07-23,2015-06-22,334,Long,CLOSED,62.39,122.81,97,97,-40,"",
29,"Cornerstone OnDemand",CSOD,2014-07-28,2015-06-10,317,Long,CLOSED,28.01,34.67,24,24,N/A,"",
30,"Roundy's",RNDY,2014-08-07,2015-06-22,319,Long,CLOSED,4.65,3.08,-34,-34,N/A,"",
